1201,Nonvascular Plant,Anastrophyllum saxicola,Anastrophyllum,
59,Amphibian,Anaxyrus boreas boreas,Boreal Toad,
67,Amphibian,Anaxyrus boreas halophilus,California Toad (Western Toad),
68,Amphibian,Anaxyrus canorus,Yosemite Toad,Threatened
942,Nonvascular Plant,Andreaea rothii,Roth's Andreaea Moss,
943,Nonvascular Plant,Andreaea rupestris,Andreaea Moss,
2921,Vascular Plant,Andropogon gerardii,Big Bluestem,
2922,Vascular Plant,Andropogon glomeratus,"Bushy Bluestem, Marsh Broomsedge",
2923,Vascular Plant,Andropogon gyrans var. gyrans,"Elliott Bluestem, Elliott's Bluestem",
2924,Vascular Plant,Andropogon ternarius,Silver Bluestem,
2925,Vascular Plant,Andropogon virginicus,"Broom-Sedge, Virginia Broomsedge",
5558,Vascular Plant,Andropogon virginicus var. virginicus,"Broomsedge, Broomsedge Bluestem",
3993,Vascular Plant,Androsace filiformis,"Filiform Rockjasmine, Slender Rockjasmine, Slender-Stemmed Androsace",
3994,Vascular Plant,Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",
5128,Vascular Plant,Androsace septentrionalis ssp. subumbellata,Pygmyflower Rockjasmine,
73,Amphibian,Aneides lugubris,Arboreal Salamander,
4910,Vascular Plant,Anelsonia eurycarpa,"Broad Pod Anelsonia, Daggerpod",
5678,Vascular Plant,Anemone drummondii,Drummond's Anemone,
3189,Vascular Plant,Anemone lancifolia,"Lance-Leaved Wood Anemone, Mountain Thimble-Weed",
5679,Vascular Plant,Anemone occidentalis,White Pasqueflower,
4485,Vascular Plant,Anemone parviflora,Smallflowered Anemone,
4486,Vascular Plant,Anemone patens var. multifida,Cutleaf Anemone,
3190,Vascular Plant,Anemone quinquefolia,Wood Anemone,
4487,Vascular Plant,Anemone tetonensis,Teton Anemone,
3191,Vascular Plant,Anemone virginiana,"Thimbleweed, Virginia Anemone",
1203,Nonvascular Plant,Aneura pinguis,Aneura,
3494,Vascular Plant,Angelica arguta,"Angelica, Lyall's Angelica, Sharptooth Angelica",
1376,Vascular Plant,Angelica atropurpurea,Purplestem Angelica,
4624,Vascular Plant,Angelica breweri,Brewer's Angelica,
4625,Vascular Plant,Angelica lineariloba,"Poison Angelica, Sierra Angelica",
3495,Vascular Plant,Angelica pinnata,"Smallleaf Angelica, Small-Leaf Angelica",
3496,Vascular Plant,Angelica roseana,Rose Angelica,
1377,Vascular Plant,Angelica triquinata,Filmy Angelica,
1378,Vascular Plant,Angelica venenosa,Hairy Angelica,
1235,Nonvascular Plant,Anoectangium aestivum,Anoectangium Moss,
1303,Reptile,Anolis carolinensis carolinensis,Northern Green Anole,
951,Nonvascular Plant,Anomobryum filiforme,Filiform Anomobryum Moss,
1067,Nonvascular Plant,Anomodon attenuatus,Anomodon Moss,
1068,Nonvascular Plant,Anomodon minor,Anomodon Moss,
1069,Nonvascular Plant,Anomodon rostratus,Anomodon Moss,
1070,Nonvascular Plant,Anomodon rugelii,Rugel's Anomodon Moss,
1071,Nonvascular Plant,Anomodon viticulosus,Anomodon Moss,
359,Bird,Anser albifrons,Greater White-Fronted Goose,
3559,Vascular Plant,Antennaria anaphaloides,"Pearly Pussytoes, Pussytoes, Tall Everlasting",
4697,Vascular Plant,Antennaria argentea,"Silver Pussytoes, Silvery Pussytoes",
3560,Vascular Plant,Antennaria aromatica,Scented Pussytoes,
3561,Vascular Plant,Antennaria corymbosa,"Flattop Pussytoes, Flat-Top Pussytoes, Meadow Everlasting",
3562,Vascular Plant,Antennaria dimorpha,"Low Everlasting, Low Pussytoes",
3563,Vascular Plant,Antennaria flagellaris,"Stoloniferous Pussy-Toes, Whip Pussytoes",
3564,Vascular Plant,Antennaria lanata,Woolly Pussytoes,
3565,Vascular Plant,Antennaria luzuloides,Rush Pussytoes,
3566,Vascular Plant,Antennaria media,Rocky Mountain Pussytoes,
3567,Vascular Plant,Antennaria microphylla,"Littleleaf Pussytoes, Rocky Mountain Pussytoes, Small Leaf Everlasting, Smallleaf Pussytoes",
1517,Vascular Plant,Antennaria neglecta,"Field Pussy Toes, Field Pussytoes",
1518,Vascular Plant,Antennaria parlinii ssp. fallax,Parlin's Pussytoes,
3568,Vascular Plant,Antennaria parvifolia,Smallleaf Pussytoes,
1519,Vascular Plant,Antennaria plantaginifolia,"Plantain-Leaf Pussytoes, Plantain-Leaved Pussy Toes",
3569,Vascular Plant,Antennaria pulcherrima,Showy Pussytoes,
